TransactionID,OrderID,TransactionDate,Amount,PaymentMethod,TransactionType,SubscriptionRenewal
4d054427-9a0e-4b45-a09b-f786b2318688,e1c482cb-000e-4ded-ae0e-78b12828bec3,2025-01-12,1712.58,Gift Card,Order Payment,0
7713f122-f659-4dfd-893c-48a608393e1a,b9ae072e-9f2b-4a77-85e3-13ac35ac195e,2025-02-04,4752.93,Credit Card,Subscription Payment,0
7768dc50-cf66-4ab6-83ef-7d2978fd86b0,7333c31c-025f-4e68-96a9-fc3c2f504598,2024-09-24,40.85,Credit Card,Order Payment,0
06d4e9ee-e45f-4778-ae96-5f8c46865c5e,b8c43d0a-6b30-4e16-8861-d4c7559daf39,2024-08-10,1468.54,Gift Card,Order Payment,0
7e4ce3f9-a009-4d6b-97d4-c947589ab650,18199726-21f2-45b4-9d2d-15772461d523,2024-11-15,3212.34,Credit Card,Subscription Payment,0
cab40660-c6a2-4294-a984-a02ec1ba96f8,2d010a28-1eee-44ef-9fc4-6d5c733154e4,2024-07-13,829.8,Amazon Pay,Subscription Payment,1
4780357a-735a-47b7-9e4f-72b627c9598c,c5b9ed87-3d30-4813-898b-5af39f073244,2024-06-22,3305.52,Gift Card,Order Payment,0
6d57c072-8e14-4ff8-a219-29042f42ad01,7eeac2df-0276-4147-a12c-68ef919a0452,2024-01-25,85.13,PayPal,Subscription Payment,0
82c4ff99-5aec-4054-bfca-90d3bc5e3072,043eca49-0caf-4e0b-b740-a3e29a9e9119,2024-05-05,167.04,Amazon Pay,Order Payment,0
e7e87f4a-b0d7-429b-a95b-014d2d4a40ee,284d2d28-1497-491c-8c25-a18828432292,2024-02-04,3103.6,Credit Card,Order Payment,0
a9868b11-b3b8-448d-9898-c27d225b6b68,b85fbc17-91b0-4158-94bd-23fcf1f56442,2024-09-19,1681.64,Credit Card,Order Payment,0
785750be-35bc-4d71-945e-82c43e0bc1c3,fd4e8c97-5ca7-4398-945e-026611487d48,2024-04-30,857.2,Amazon Pay,Order Payment,0
d8363528-247f-4931-8052-1a0df09be655,e519949d-6a34-4d4b-bc15-38876de67cae,2024-09-14,776.0,Credit Card,Order Payment,0
694f2a69-c462-4fed-98b4-79ccf5fc042c,13b75cd5-47af-429c-be89-10f33db66635,2024-04-13,3015.32,PayPal,Order Payment,0
f35384b0-9073-4a2d-8085-d17bc2c464e6,aa5427c2-85a0-4103-8c9c-7d68733f6969,2024-01-02,1262.91,Amazon Pay,Subscription Payment,0
ad8bcbf7-8a8c-4e5b-9c4d-1e904b89ff6b,ee220186-5899-44f7-8fa4-f7d5ddd63aa9,2024-03-26,2439.72,Amazon Pay,Subscription Payment,1
0fa69b3c-7734-406d-9627-0ae1956fbd5d,31d17826-fdda-4910-af2c-8c9349d33da6,2024-07-19,1907.84,Credit Card,Order Payment,0
c4131b39-2359-4c21-a7ab-565d2f529138,434f6fd6-75d0-4084-af55-f3b0b39bca76,2024-07-27,8386.35,Credit Card,Subscription Payment,0
9dc4ec72-7ddb-4a59-bb30-e09c020f013b,05c2b964-8673-418c-8af3-14566d74c2f5,2024-08-29,3126.42,PayPal,Order Payment,0
36d5b419-c91d-4034-a003-21e8a844e4e9,d4699d38-899c-40c2-9c0b-ad3ac42edb05,2024-11-27,1880.76,PayPal,Subscription Payment,0
72596055-787b-4134-8d6a-0091b4976f57,b9d83c63-cd65-429c-9887-510f5ba0d9b8,2024-06-23,3181.92,PayPal,Subscription Payment,1
c37edae4-d231-46ec-ab2f-a39b75e9d02e,714b77e6-030a-4b27-b0cc-299f76898358,2024-06-27,1489.9,Credit Card,Subscription Payment,0
